Timestamp,Event_Type,Symbol,PnL,Realized,Unrealized,Threshold,Action
2026-06-23 09:32:17,PER_TICKER_BREACH,NTPC,-4.57,-4.50,-0.07,-3.64,EXIT_SINGLE qty=1
2026-06-29 05:32:32,PER_TICKER_BREACH,AMBUJACEM,-4.37,-2.55,-1.82,-4.23,EXIT_SINGLE qty=1
2026-06-29 05:56:43,PER_TICKER_BREACH,WIPRO,-3.65,-1.08,-2.57,-3.50,EXIT_SINGLE qty=2
2026-06-29 06:03:52,PER_TICKER_BREACH,COALINDIA,-4.70,-2.50,-2.20,-4.36,EXIT_SINGLE qty=1
2026-08-14 09:50:00,PER_TICKER_BREACH,COALINDIA,-370.50,0.00,-370.50,-243.66,EXIT_SINGLE qty=60
2026-08-14 09:50:00,PER_TICKER_BREACH,ADANIENT,-766.70,0.00,-766.70,-516.80,EXIT_SINGLE qty=17
2026-09-01 06:52:28,PER_TICKER_BREACH,HCLTECH,-242.25,0.00,-242.25,-229.75,EXIT_SINGLE qty=17
